name,address,image_url,promo,href,menu
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Nguyễn Duy Dương","192 Nguyễn Duy Dương, P. 2, Quận 10, TP. HCM",https://down-ws-vn.img.susercontent.com/vn-11134513-7ra0g-m9vjkec6xawy42@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/reviet-juice-nuoc-ep-sinh-to-detox-nguyen-duy-duong,"{'Nước Ép Dưa Hấu - BÁN CHẠY': '24.000đ', 'Nước Ép Cam': '24.000đ', 'Nước Ép Ổi': '32.000đ', 'Nước Ép Thơm': '34.400đ', 'Nước Ép Dưa Lưới - NÊN THỬ': '36.800đ', 'Nước Ép Bưởi - BÁN CHẠY': '36.800đ', 'Nước Ép Cóc': '34.400đ', 'Nước Ép Táo': '49.000đ', 'Nước Ép Chanh ""YAY"" Đặc Biệt': '32.000đ', 'Nước Ép Chanh ""YAY"" Thơm': '34.400đ', 'Nước Ép Chanh ""YAY"" Ổi - Bán Chạy': '34.400đ', 'Nước Ép Chanh ""YAY"" Táo': '36.800đ', 'Trà Kombucha Nguyên Bản': '36.000đ', 'Trà Kombucha Ổi - NÊN THỬ': '36.000đ'}"
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Nguyễn Duy Dương","192 Nguyễn Duy Dương, P. 2, Quận 10, TP. HCM",,Giảm món,,{}
"ReViet Juice - Nước ép, Sinh Tố & Detox - Phan Văn Trị","1235 Phan Văn Trị, P. 10, Gò Vấp, TP. HCM",https://down-ws-vn.img.susercontent.com/vn-11134513-7ra0g-m9vjk8anrl7ecd@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/reviet-juice-nuoc-ep-sinh-to-detox-phan-van-tri,"{'Nước Ép Dưa Hấu - BÁN CHẠY': '24.000đ', 'Nước Ép Cam': '24.000đ', 'Nước Ép Ổi': '32.000đ', 'Nước Ép Thơm': '34.400đ', 'Nước Ép Dưa Lưới - NÊN THỬ': '36.800đ', 'Nước Ép Bưởi - BÁN CHẠY': '36.800đ', 'Nước Ép Táo': '39.200đ', 'Nước Ép Chanh ""YAY"" Đặc Biệt': '32.000đ', 'Nước Ép Chanh ""YAY"" Thơm': '34.400đ', 'Nước Ép Chanh ""YAY"" Ổi - Bán Chạy': '34.400đ', 'Nước Ép Chanh ""YAY"" Táo': '36.800đ', 'Trà Kombucha Nguyên Bản': '36.000đ', 'Trà Kombucha Ổi - NÊN THỬ': '36.000đ', 'Trà Kombucha Táo': '39.200đ'}"
"ReViet Juice - Nước ép, Sinh Tố & Detox - Phan Văn Trị","1235 Phan Văn Trị, P. 10, Gò Vấp, TP. HCM",,Giảm món,,{}
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Đường Số 25A","3/4A Đường Số 25A, P. Tân Quy, Quận 7, TP. HCM",https://down-ws-vn.img.susercontent.com/vn-11134513-7ra0g-m9vjkg0eilj65f@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/reviet-juice-nuoc-ep-sinh-to-detox-duong-so-25a,"{'Nước Ép Dưa Hấu - BÁN CHẠY': '24.000đ', 'Nước Ép Cam': '24.000đ', 'Nước Ép Ổi': '32.000đ', 'Nước Ép Thơm': '34.400đ', 'Nước Ép Bưởi - BÁN CHẠY': '36.800đ', 'Nước Ép Cóc': '43.000đ', 'Nước Ép Cà Rốt': '46.000đ', 'Nước Ép Táo': '49.000đ', 'Nước Ép Chanh ""YAY"" Đặc Biệt': '32.000đ', 'Nước Ép Chanh ""YAY"" Thơm': '34.400đ', 'Nước Ép Chanh ""YAY"" Ổi - Bán Chạy': '34.400đ', 'Nước Ép Chanh ""YAY"" Táo': '36.800đ', 'Trà Kombucha Nguyên Bản': '36.000đ', 'Trà Kombucha Ổi - NÊN THỬ': '36.000đ'}"
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Đường Số 25A","3/4A Đường Số 25A, P. Tân Quy, Quận 7, TP. HCM",,Giảm món,,{}
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Hậu Giang","1019 Hậu Giang, P.11, Quận 6, TP. HCM",https://down-ws-vn.img.susercontent.com/vn-11134513-7ra0g-m9vjk9gk2bes6c@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/reviet-juice-nuoc-ep-sinh-to-detox-hau-giang,"{'Nước Ép Dưa Hấu - BÁN CHẠY': '24.000đ', 'Nước Ép Cam': '24.000đ', 'Nước Ép Ổi': '32.000đ', 'Nước Ép Thơm': '34.400đ', 'Nước Ép Dưa Lưới - NÊN THỬ': '36.800đ', 'Nước Ép Bưởi - BÁN CHẠY': '36.800đ', 'Nước Ép Táo': '39.200đ', 'Nước Ép Chanh ""YAY"" Đặc Biệt': '32.000đ', 'Nước Ép Chanh ""YAY"" Thơm': '34.400đ', 'Nước Ép Chanh ""YAY"" Ổi - Bán Chạy': '34.400đ', 'Nước Ép Chanh ""YAY"" Táo': '36.800đ', 'Trà Kombucha Nguyên Bản': '36.000đ', 'Trà Kombucha Ổi - NÊN THỬ': '36.000đ', 'Trà Kombucha Táo': '39.200đ'}"
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Hậu Giang","1019 Hậu Giang, P.11, Quận 6, TP. HCM",,Giảm món,,{}
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Hồ Bá Kiện","150A Hồ Bá Kiện, P.15, Quận 10, TP. HCM",https://down-ws-vn.img.susercontent.com/vn-11134513-7ra0g-m9vjkdrnu5qa7e@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/reviet-juice-nuoc-ep-sinh-to-detox-ho-ba-kien,"{'Nước Ép Dưa Hấu - BÁN CHẠY': '24.000đ', 'Nước Ép Cam': '24.000đ', 'Nước Ép Ổi': '32.000đ', 'Nước Ép Thơm': '34.400đ', 'Nước Ép Dưa Lưới - NÊN THỬ': '36.800đ', 'Nước Ép Bưởi - BÁN CHẠY': '36.800đ', 'Nước Ép Cóc': '43.000đ', 'Nước Ép Cà Rốt': '36.800đ', 'Nước Ép Táo': '39.200đ', 'Nước Ép Chanh ""YAY"" Đặc Biệt': '40.000đ', 'Nước Ép Chanh ""YAY"" Thơm': '34.400đ', 'Nước Ép Chanh ""YAY"" Ổi - Bán Chạy': '34.400đ', 'Nước Ép Chanh ""YAY"" Táo': '36.800đ', 'Trà Kombucha Nguyên Bản': '36.000đ'}"
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Hồ Bá Kiện","150A Hồ Bá Kiện, P.15, Quận 10, TP. HCM",,Giảm món,,{}
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Nguyễn Cảnh Chân","TK28/41 Nguyễn Cảnh Chân, P. Cầu Kho, Quận 1, TP. HCM",https://down-ws-vn.img.susercontent.com/vn-11134513-7ra0g-m9vjkd4won7m9d@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/reviet-juice-nuoc-ep-sinh-to-detox-nguyen-canh-chan,"{'Nước Ép Dưa Hấu - BÁN CHẠY': '24.000đ', 'Nước Ép Cam': '24.000đ', 'Nước Ép Ổi': '32.000đ', 'Nước Ép Thơm': '34.400đ', 'Nước Ép Dưa Lưới - NÊN THỬ': '36.800đ', 'Nước Ép Bưởi - BÁN CHẠY': '36.800đ', 'Nước Ép Cóc': '34.400đ', 'Nước Ép Cà Rốt': '36.800đ', 'Nước Ép Táo': '39.200đ', 'Nước Ép Chanh ""YAY"" Đặc Biệt': '32.000đ', 'Nước Ép Chanh ""YAY"" Thơm': '34.400đ', 'Nước Ép Chanh ""YAY"" Ổi - Bán Chạy': '34.400đ', 'Nước Ép Chanh ""YAY"" Táo': '36.800đ', 'Trà Kombucha Nguyên Bản': '36.000đ'}"
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Nguyễn Cảnh Chân","TK28/41 Nguyễn Cảnh Chân, P. Cầu Kho, Quận 1, TP. HCM",,Giảm món,,{}
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Nguyễn Văn Đậu","89 Nguyễn Văn Đậu, P. 5, Bình Thạnh, TP. HCM",https://down-ws-vn.img.susercontent.com/vn-11134513-7ra0g-m9vjkdz5gdxed7@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/reviet-juice-nuoc-ep-sinh-to-detox-nguyen-van-dau,"{'Nước Ép Dưa Hấu - BÁN CHẠY': '24.000đ', 'Nước Ép Cam': '24.000đ', 'Nước Ép Ổi': '32.000đ', 'Nước Ép Thơm': '34.400đ', 'Nước Ép Dưa Lưới - NÊN THỬ': '36.800đ', 'Nước Ép Cà Rốt': '36.800đ', 'Nước Ép Táo': '39.200đ', 'Nước Ép Chanh ""YAY"" Đặc Biệt': '32.000đ', 'Nước Ép Chanh ""YAY"" Thơm': '34.400đ', 'Nước Ép Chanh ""YAY"" Ổi - Bán Chạy': '34.400đ', 'Nước Ép Chanh ""YAY"" Táo': '36.800đ', 'Trà Kombucha Nguyên Bản': '36.000đ', 'Trà Kombucha Ổi - NÊN THỬ': '36.000đ', 'Trà Kombucha Táo': '39.200đ'}"
"ReViet Juice - Nước Ép, Sinh Tố & Detox - Nguyễn Văn Đậu","89 Nguyễn Văn Đậu, P. 5, Bình Thạnh, TP. HCM",,Giảm món,,{}
