name,adress,image_url,promo,href,menu
Trà Sữa Maycha - 145 Lê Văn Quới,"145 Đ. Lê Văn Quới, P. Bình Trị Đông, Bình Tân, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnbj4tdvm49@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-145-le-van-quoi,"{'Combo Blooming 4': '139.000đ', 'Combo Blooming 2': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'Ăn Vặt Có Gu 2': '51.000đ', 'Ăn Vặt Có Gu 1': '40.000đ'}"
Trà Sữa Maycha - 145 Lê Văn Quới,"145 Đ. Lê Văn Quới, P. Bình Trị Đông, Bình Tân, TP. HCM",,Flash Sale,,{}
Trà Sữa Maycha - Vạn Kiếp,"45 - 47 Vạn Kiếp, P. 3, Bình Thạnh, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnczuo8leaa@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-van-kiep,"{'Combo Blooming 2': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ'}"
Trà Sữa Maycha - Vạn Kiếp,"45 - 47 Vạn Kiếp, P. 3, Bình Thạnh, TP. HCM",,Giảm món,,{}
Trà Sữa Maycha - Lê Văn Sỹ,"483B Lê Văn Sỹ, P.2, Tân Bình, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnoubc462ab@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-le-van-sy,"{'Trà Sữa Kem Trứng Khè ': '24.500đ', 'Lục Trà Táo Dưa Lưới Thanh Mát': '30.000đ', 'Lục Trà Xoài Cam Tươi': '35.000đ', 'Lục Trà Táo Dưa Lưới Kale Lỳ ': '39.000đ', 'Lục Trà Xoài Kale Lỳ ': '39.000đ', 'Trà Sữa Phô Mai Dâu': '36.000đ', 'Phô Mai Dâu': '10.000đ', 'Combo Blooming 3': '155.000đ', 'Combo Blooming 2': '151.000đ', 'Combo Blooming 5': '150.000đ', 'Combo Blooming 4': '143.000đ', 'Combo Blooming 1': '148.000đ', 'Ăn Vặt Có Gu 2': '47.000đ'}"
Trà Sữa Maycha - Lê Văn Sỹ,"483B Lê Văn Sỹ, P.2, Tân Bình, TP. HCM",,Flash Sale,,{}
Trà Sữa MayCha - Đường Số 17,"181 - 183 Đường Số 17, P. Tân Quy, Quận 7, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnmar25j69e@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-duong-so-17,"{'Combo Blooming 5': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ', 'Ăn Vặt Có Gu 1': '40.000đ', 'Ăn Vặt Có Gu 2': '51.000đ'}"
Trà Sữa MayCha - Đường Số 17,"181 - 183 Đường Số 17, P. Tân Quy, Quận 7, TP. HCM",,Flash Sale,,{}
Trà Sữa Maycha - Lạc Long Quân,"79A Lạc Long Quân, P. 1, Quận 11, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hniagx8uyed@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-lac-long-quan,"{'Combo Blooming 2': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ'}"
Trà Sữa Maycha - Lạc Long Quân,"79A Lạc Long Quân, P. 1, Quận 11, TP. HCM",,Flash Sale,,{}
Trà Sữa MayCha - 213E Nguyễn Văn Cừ,"213E Nguyễn Văn Cừ, P. 3, Quận 5, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnlcmg1v25d@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-213e-nguyen-van-cu,"{'Trà Sữa Kem Trứng Khè ': '24.500đ', 'Lục Trà Xoài Cam Tươi': '35.000đ', 'Lục Trà Táo Dưa Lưới Thanh Mát': '30.000đ', 'Lục Trà Táo Dưa Lưới Kale Lỳ ': '39.000đ', 'Lục Trà Xoài Kale Lỳ ': '39.000đ', 'Combo Blooming 5': '150.000đ', 'Combo Blooming 1': '148.000đ', 'Combo Blooming 3': '155.000đ', 'Combo Blooming 2': '151.000đ', 'Combo Blooming 4': '143.000đ', 'Ăn Vặt Có Gu 2': '47.000đ', 'Ăn Vặt Có Gu 3': '42.000đ', 'Ăn Vặt Có Gu 1 ': '45.000đ'}"
Trà Sữa MayCha - 213E Nguyễn Văn Cừ,"213E Nguyễn Văn Cừ, P. 3, Quận 5, TP. HCM",,Flash Sale,,{}
Trà Sữa Maycha - 66 Nguyễn Ảnh Thủ,"66 Nguyễn Ảnh Thủ, P.Hiệp Thành, Quận 12, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnjft8qvu9e@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-66-nguyen-anh-thu,"{'Combo Blooming 5': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Combo Blooming 2': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ'}"
Trà Sữa Maycha - 66 Nguyễn Ảnh Thủ,"66 Nguyễn Ảnh Thủ, P.Hiệp Thành, Quận 12, TP. HCM",,Flash Sale,,{}
Trà Sữa Sunday Basic - Nguyễn Duy Trinh,"230A Nguyễn Duy Trinh, P. Bình Trưng Tây, Thành Phố Thủ Đức, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-m8ee9d8laqv6cc@resize_ss280x175!@crop_w280_h175_cT,Flash Sale,https://shopeefood.vn/ho-chi-minh/tra-sua-sunday-basic-nguyen-duy-trinh,"{'TRÀ SỮA KHOAI MÔN NGHIỀN': '31.000đ', 'Khoai Môn Sữa Dừa': '31.000đ', 'SỮA TƯƠI KHOAI MÔN TRÂN CHÂU DỪA': '33.000đ', 'Bơ Dừa Non': '33.000đ', 'Trà Sữa Bơ Tươi': '33.000đ', 'Bơ Sữa Trân Châu Đường Đen ': '33.000đ', 'Trà bưởi dâu tây (size L)': '32.000đ', 'Trà Sữa Truyền Thống': '5.000đ', 'Trà Lựu Đỏ Nha Đam (size L)': '32.000đ', 'Trà Sữa Kem Trứng Khè Đặc Biệt (Size L)': '35.000đ', 'Khoai Môn Sữa Dừa (Size L)': '39.000đ', 'Bơ Dừa Non (Size L)': '41.000đ', 'Ăn Ngon Rẻ - Olong Sữa Nhài (L) + Trân Châu Đen': '40.000đ', 'Ăn Ngon Rẻ - Olong Sữa Rang (Đậm vị)': '25.000đ'}"
Trà Sữa Sunday Basic - Nguyễn Duy Trinh,"230A Nguyễn Duy Trinh, P. Bình Trưng Tây, Thành Phố Thủ Đức, TP. HCM",,Flash Sale,,{}
Trà Sữa MayCha - 182 Tân Sơn Nhì,"182 Tân Sơn Nhì, P. Tân Sơn Nhì, Tân Phú, TP. HCM",https://mms.img.susercontent.com/vn-11134513-7ra0g-ma3hnqu6gcxa8e@resize_ss280x175!@crop_w280_h175_cT,Giảm món,https://shopeefood.vn/ho-chi-minh/tra-sua-maycha-182-tan-son-nhi,"{'Combo Blooming 2': '139.000đ', 'Combo Blooming 1': '139.000đ', 'Combo Blooming 3': '139.000đ', 'Combo Blooming 4': '139.000đ', 'Combo Blooming 5': '139.000đ', 'Trà Sữa Kem Trứng Khè': '24.500đ', 'MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SẢN PHẨM ANH/CHỊ LIÊN HỆ : 0878808808': '1đ'}"
Trà Sữa MayCha - 182 Tân Sơn Nhì,"182 Tân Sơn Nhì, P. Tân Sơn Nhì, Tân Phú, TP. HCM",,Giảm món,,{}
